protocol,layer,task,fold_id,sample_count,unique_molecule_count,sample_share,molecule_share
scaffold,common_intersection,fish_EC50,4,1520,577,0.18093084156648018,0.18564993564993565
scaffold,common_intersection,fish_EC10,0,1301,407,0.1954627403846154,0.19786096256684493
scaffold,common_intersection,fish_EC10,1,1297,406,0.19486177884615385,0.1973748176956733
scaffold,common_intersection,fish_EC10,2,1300,406,0.1953125,0.1973748176956733
scaffold,common_intersection,fish_EC10,3,1460,431,0.21935096153846154,0.20952843947496355
scaffold,common_intersection,fish_EC10,4,1298,407,0.19501201923076922,0.19786096256684493
scaffold,common_intersection,aquatic_invertebrates_EC50,0,1491,602,0.18384710234278667,0.18912975180647187
scaffold,common_intersection,aquatic_invertebrates_EC50,1,1494,602,0.1842170160295931,0.18912975180647187
scaffold,common_intersection,aquatic_invertebrates_EC50,2,1490,602,0.18372379778051787,0.18912975180647187
scaffold,common_intersection,aquatic_invertebrates_EC50,3,2141,775,0.26399506781750925,0.24348099277411248
scaffold,common_intersection,aquatic_invertebrates_EC50,4,1494,602,0.1842170160295931,0.18912975180647187
scaffold,common_intersection,aquatic_invertebrates_EC10,0,1144,450,0.19508867667121418,0.19823788546255505
scaffold,common_intersection,aquatic_invertebrates_EC10,1,1144,450,0.19508867667121418,0.19823788546255505
scaffold,common_intersection,aquatic_invertebrates_EC10,2,1144,450,0.19508867667121418,0.19823788546255505
scaffold,common_intersection,aquatic_invertebrates_EC10,3,1292,470,0.2203274215552524,0.20704845814977973
scaffold,common_intersection,aquatic_invertebrates_EC10,4,1140,450,0.19440654843110505,0.19823788546255505
scaffold,common_intersection,algae_EC50,0,728,462,0.17704280155642024,0.18576598311218334
scaffold,common_intersection,algae_EC50,1,729,462,0.17728599221789884,0.18576598311218334
scaffold,common_intersection,algae_EC50,2,729,460,0.17728599221789884,0.18496180136710896
scaffold,common_intersection,algae_EC50,3,1192,644,0.2898832684824903,0.25894652191395257
scaffold,common_intersection,algae_EC50,4,734,459,0.17850194552529183,0.18455971049457176
scaffold,common_intersection,algae_EC10,0,728,475,0.19377162629757785,0.19644334160463192
scaffold,common_intersection,algae_EC10,1,732,474,0.19483630556294917,0.19602977667493796
scaffold,common_intersection,algae_EC10,2,733,473,0.19510247537929198,0.195616211745244
scaffold,common_intersection,algae_EC10,3,836,521,0.22251796646260313,0.21546732837055418
scaffold,common_intersection,algae_EC10,4,728,475,0.19377162629757785,0.19644334160463192
